id,event_type,agency,report_id,report_number,report_year,reported_date,report_event_date,report_event_time,report_event_date_time,report_event_day,report_event_end_date,report_event_end_time,report_event_end_date_time,report_place_name,report_address,report_city,report_district,report_beat,report_location_type,report_latitude,report_longitude,report_status,report_primary_offense_code,report_primary_offense_description,report_summary_offense_code,report_summary_offense_description
18110,General Offense,Chandler,133368,2016-59974         ,2016,5/26/2016,5/26/2016,21:58:00,5/26/2016 21:58,Thursday,,,,,1500 W Laredo St,Chandler,2,5,Residence/Home,33.3143425,-111.8691483,CLOSED - Complaint Issued,,Robbery-Carjacking,CARJACK ,Carjacking
30378,General Offense,Chandler,145809,2016-99903         ,2016,9/2/2016,9/2/2016,14:45:00,9/2/2016 14:45,Friday,,,,,W Tulsa St & N Central Dr,Chandler,2,5,Highway/Road/Alley/Street/Sidewalk,33.31254959,-111.8634109,CLOSED - Complaint Issued,,Robbery-Carjacking,CARJACK ,Carjacking
32111,General Offense,Chandler,147564,2016-105057        ,2016,9/15/2016,9/10/2016,19:00:00,9/10/2016 19:00,Saturday,,,,,S McQueen Rd & E Commonwealth Pl,Chandler,4,12,Highway/Road/Alley/Street/Sidewalk,33.30302811,-111.8241882,INACTIVE -  Suspended/Lack of Leads or Suspects,,Robbery-Carjacking,CARJACK ,Carjacking
42175,General Offense,Chandler,157743,2016-138373        ,2016,12/7/2016,12/5/2016,13:33:00,12/5/2016 13:33,Monday,12/5/2016,16:00:00,12/5/2016 16:00,,2300 W Colt Rd,Chandler,2,4,Residence/Home,33.33769989,-111.8841476,CLOSED - Complaint Issued,,Robbery-Carjacking,CARJACK ,Carjacking
81845,General Offense,Chandler,197932,2017-131958        ,2017,10/26/2017,10/26/2017,17:45:00,10/26/2017 17:45,Thursday,10/26/2017,17:48:00,10/26/2017 17:48,Walgreens,3000 E Riggs Rd,Chandler,6,17,Parking/Drop Lot/Garage,33.21923065,-111.7892914,CLOSED - Turn Down (Records Use Only),,Robbery-Carjacking,CARJACK ,Carjacking
86914,General Offense,Chandler,203048,2017-151311        ,2017,12/9/2017,12/9/2017,21:21:00,12/9/2017 21:21,Saturday,,,,El Coyote Sports Bar,400 N Arizona Av,Chandler,3,9,Parking/Drop Lot/Garage,33.31160736,-111.8414841,INACTIVE -  Suspended/Lack of Leads or Suspects,,Robbery-Carjacking,CARJACK ,Carjacking
108770,General Offense,Chandler,225111,2018-77849         ,2018,6/26/2018,6/25/2018,23:00:00,6/25/2018 23:00,Monday,,,,,S Arizona Av & E Frye Rd,Chandler,4,10,Highway/Road/Alley/Street/Sidewalk,33.29889297,-111.841507,INACTIVE -  Suspended/Lack of Leads or Suspects,,Robbery-Carjacking,CARJACK ,Carjacking
112226,General Offense,Chandler,228595,2018-92620         ,2018,7/29/2018,7/19/2018,3:00:00,7/19/2018 3:00,Thursday,7/19/2018,7:00:00,7/19/2018 7:00,,0 Km South On I15 Mexico,Out of State,,,Highway/Road/Alley/Street/Sidewalk,,,CLOSED - Other Agency,,Robbery-Carjacking,CARJACK ,Carjacking
143271,General Offense,Chandler,259915,2019-66020         ,2019,5/31/2019,5/31/2019,23:14:00,5/31/2019 23:14,Friday,,,,,1100 S Arizona Av,Chandler,5,15,Grocery/Supermarket,33.28988647,-111.8363342,CLOSED - Complaint Issued,,Robbery-Carjacking,CARJACK ,Carjacking
147483,General Offense,Chandler,264172,2019-85947         ,2019,7/16/2019,7/16/2019,16:10:00,7/16/2019 16:10,Tuesday,,,,,800 E Flint St,Chandler,4,11,Highway/Road/Alley/Street/Sidewalk,33.308918,-111.8262558,INACTIVE -  No Prosecution Desired,,Robbery-Carjacking,CARJACK ,Carjacking
175428,General Offense,Chandler,292416,2020-47379         ,2020,5/1/2020,5/1/2020,19:13:00,5/1/2020 19:13,Friday,,,,,N Arizona Av & W Warner Rd,Chandler,3,7,Highway/Road/Alley/Street/Sidewalk,33.33512878,-111.8417435,INACTIVE -  Suspended/Lack of Leads or Suspects,,Robbery-Carjacking,CARJACK ,Carjacking
202595,General Offense,Chandler,319921,2021-23472         ,2021,3/4/2021,3/4/2021,23:00:00,3/4/2021 23:00,Thursday,3/4/2021,23:11:00,3/4/2021 23:11,,6000 W Chandler Bl,Chandler,1,1,Parking/Drop Lot/Garage,33.30337906,-111.9457016,CLOSED - Complaint Issued,,Robbery-Carjacking,CARJACK ,Carjacking
205208,General Offense,Chandler,322573,2021-34438         ,2021,4/2/2021,4/2/2021,0:00:00,4/2/2021 0:00,Friday,,,,,7300 W Chandler Bl,Chandler,1,1,Convenience Store,33.30527115,-111.9671707,CLOSED - Turn Down (Records Use Only),,Robbery-Carjacking,CARJACK ,Carjacking
217880,General Offense,Chandler,335440,2021-89287         ,2021,8/16/2021,8/15/2021,23:00:00,8/15/2021 23:00,Sunday,,,,,200 S Elizabeth Wy,Chandler,4,12,Parking/Drop Lot/Garage,33.29958344,-111.8294907,CLOSED - Complaint Issued,,Robbery-Carjacking,CARJACK ,Carjacking
224717,General Offense,Chandler,342425,2021-118035        ,2021,10/28/2021,10/28/2021,19:12:00,10/28/2021 19:12,Thursday,,,,,5100 S Arizona Av,Chandler,6,17,Residence/Home,33.23306274,-111.8412933,PENDING - County/State Prosecutor Review (Records Use Only),,Robbery-Carjacking,CARJACK ,Carjacking
228020,General Offense,Chandler,345826,2021-128960        ,2021,11/25/2021,11/25/2021,19:45:00,11/25/2021 19:45,Thursday,,,,,800 W Ray Rd,Chandler,3,9,Parking/Drop Lot/Garage,33.3205986,-111.8575897,PENDING - Laboratory,,Robbery-Carjacking,CARJACK ,Carjacking
