DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
100115672,08/17/2010 12:00:00 AM,08/17/2010 12:00:00 AM,0930,04,Hollenbeck,0423,1,210,ROBBERY,0916 1402,0,M,H,101,STREET,204,FOLDING KNIFE,IC,Invest Cont,210,998,,,1700    WORKMAN                      ST,,34.0615,-118.214
100204580,01/12/2010 12:00:00 AM,01/12/2010 12:00:00 AM,0030,02,Rampart,0248,1,210,ROBBERY,0330 0342 0344 0406 0416 0421 0425 0916 1302 1311,35,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,888,,,3RD                          ST,COLUMBIA,34.0594,-118.2644
100205387,01/27/2010 12:00:00 AM,01/27/2010 12:00:00 AM,0700,02,Rampart,0212,1,510,VEHICLE - STOLEN,0916,0,M,H,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,510,,,,500 N  VERMONT                      AV,,34.0791,-118.2917
100206913,02/23/2010 12:00:00 AM,02/22/2010 12:00:00 AM,0615,02,Rampart,0279,1,210,ROBBERY,0302 0312 0334 0330 0342 0371 0906 0916 1216,29,M,O,101,STREET,101,REVOLVER,IC,Invest Cont,210,,,,10TH                         ST,BLAINE                       ST,34.0481,-118.2712
100209234,04/04/2010 12:00:00 AM,04/04/2010 12:00:00 AM,0820,02,Rampart,0265,1,210,ROBBERY,0330 0416 0429 0605 0916 2004,27,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,800 S  ALVARADO                     ST,,34.0549,-118.2778
100209277,04/05/2010 12:00:00 AM,04/05/2010 12:00:00 AM,0100,02,Rampart,0291,1,210,ROBBERY,0112 0330 0342 0344 0370 0432 0916 1309 1310,23,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,PICO,ALVARADO,34.0461,-118.2801
100215102,07/24/2010 12:00:00 AM,07/23/2010 12:00:00 AM,1800,02,Rampart,0247,1,210,ROBBERY,0302 0330 0354 0906 0916,23,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,210,,,,BURLINGTON,MARYLAND,34.0596,-118.27
100215596,08/02/2010 12:00:00 AM,08/02/2010 12:00:00 AM,2150,02,Rampart,0233,1,210,ROBBERY,0302 0334 0330 0342 0344 0355 0432 0916 1316 1822,41,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,510,,,2ND                          ST,BENTON                       WY,34.0689,-118.2783
100216205,08/15/2010 12:00:00 AM,08/15/2010 12:00:00 AM,0530,02,Rampart,0261,1,210,ROBBERY,0330 0344 0416 0432 0443 0906 0916,25,F,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210,,,,8TH                          ST,PARK VIEW                    AV,34.0563,-118.2809
100216414,08/18/2010 12:00:00 AM,08/18/2010 12:00:00 AM,1100,02,Rampart,0211,1,220,ATTEMPTED ROBBERY,0334 0916 1402,33,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,220,998,,,500 N  KENMORE                      AV,,34.079,-118.2967
