DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200118692,09/30/2020 12:00:00 AM,09/30/2020 12:00:00 AM,0410,01,Central,0185,1,210,ROBBERY,0344 0334 1311 1302 1822 1218 0302 1309 2024 0916,29,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,210,,,,BROADWAY,PICO,34.0377,-118.2607
200204529,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1725,02,Rampart,0257,2,624,BATTERY - SIMPLE ASSAULT,0342 1822 1300 0416 0446 0916 1312 1309 1310,53,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH                          ST,UNION,34.057,-118.2691
200205568,02/01/2020 12:00:00 AM,01/31/2020 12:00:00 AM,2355,02,Rampart,0216,1,210,ROBBERY,0916 1300 1310 1309 0337 1822 1311 0342 0432 0446,40,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,510,,,2100    KENT                         ST,,34.0745,-118.2654
200304304,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1940,03,Southwest,0393,1,210,ROBBERY,0916 0334 0342 0302 0330 0344 0327 0449 1278 1281,63,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,MC CLUNG                     DR,STOCKER                      ST,34.0085,-118.3334
200304815,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1235,03,Southwest,0353,1,210,ROBBERY,0330 0334 0342 0389 1822 0432 1310 1278 0916 2024,53,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,VICTORIA                     AV,N  COLISEUM,34.0183,-118.3363
200305093,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,0130,03,Southwest,0395,1,210,ROBBERY,1310 0916 1311 0330 0334 0432 1202 0344 0377 0354,72,M,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210,,,,41ST                         PL,WESTERN                      AV,34.0082,-118.3089
200404446,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,0400,04,Hollenbeck,0417,1,210,ROBBERY,0916 1822 1202 0326 0344 0355 1309 1300,70,M,H,101,STREET,101,REVOLVER,IC,Invest Cont,210,,,,3000    SIERRA                       ST,,34.0805,-118.2017
200504003,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0700,05,Harbor,0526,1,210,ROBBERY,1816 0432 0354 0334 0302 0216 0916 0906 0913,33,M,H,108,PARKING LOT,101,REVOLVER,AA,Adult Arrest,210,,,,900    ISLAND                       AV,,33.7815,-118.2667
200518261,12/28/2020 12:00:00 AM,12/28/2020 12:00:00 AM,0134,05,Harbor,0522,1,210,ROBBERY,0916 0216 0354 0330 0344 0416 0429 0432 1309,47,M,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,700 N  WILMINGTON                   BL,,33.7779,-118.274
200106996,02/13/2020 12:00:00 AM,02/12/2020 12:00:00 AM,2000,01,Central,0163,1,210,ROBBERY,1822 1316 0444 0947 0916,41,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,510,,,700 S  BROADWAY,,34.0452,-118.2534
200608824,04/06/2020 12:00:00 AM,04/04/2020 12:00:00 AM,1735,06,Hollywood,0659,1,520,VEHICLE - ATTEMPT STOLEN,0400 1300 1310 0432 0334 0302 0916 0327,31,M,W,101,STREET,,,IC,Invest Cont,520,,,,FOUNTAIN,SERRANO,34.095,-118.307
