CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
947180668,90,BROOKLYN,12/29/2021,22:20:00,12/29/2021,22:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO BKLYN NORTH,380,"ROBBERY,CAR JACKING",STREET,12/29/2021,,UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,M,1001016,200118,40.715946753000026,-73.93952118899993,"(40.715946753000026, -73.93952118899993)",POINT (-73.93952118899993 40.715946753000026)
493957843,106,QUEENS,12/28/2021,00:40:00,12/28/2021,00:46:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO QUEENS SOUTH,380,"ROBBERY,CAR JACKING",PARKING LOT/GARAGE (PUBLIC),12/28/2021,,25-44,BLACK,M,,25-44,WHITE HISPANIC,F,1024022,184018,40.67168252400006,-73.85662644199994,"(40.67168252400006, -73.85662644199994)",POINT (-73.85662644199994 40.67168252400006)
356370031,90,BROOKLYN,12/24/2021,14:11:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO BKLYN NORTH,380,"ROBBERY,CAR JACKING",STREET,12/24/2021,,UNKNOWN,BLACK HISPANIC,U,,65+,BLACK HISPANIC,M,1000497,194936,40.70172435800004,-73.94140588899995,"(40.70172435800004, -73.94140588899995)",POINT (-73.94140588899995 40.70172435800004)
149681493,42,BRONX,12/30/2021,23:00:00,12/30/2021,23:05:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,OPPOSITE OF,ROBBERY,,PATROL BORO BRONX,380,"ROBBERY,CAR JACKING",STREET,12/31/2021,,UNKNOWN,BLACK,U,,18-24,UNKNOWN,M,1009491,241451,40.829374855000026,-73.90879396599996,"(40.829374855000026, -73.90879396599996)",POINT (-73.90879396599996 40.829374855000026)
739089703,33,MANHATTAN,12/29/2021,20:00:00,12/29/2021,20:50:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO MAN NORTH,380,"ROBBERY,CAR JACKING",PUBLIC BUILDING,12/29/2021,,25-44,BLACK HISPANIC,M,,25-44,WHITE HISPANIC,M,999124,244700,40.83831596500005,-73.94624754799997,"(40.83831596500005, -73.94624754799997)",POINT (-73.94624754799997 40.83831596500005)
861876123,109,QUEENS,12/31/2021,12:30:00,12/31/2021,12:34:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,,ROBBERY,,PATROL BORO QUEENS NORTH,380,"ROBBERY,CAR JACKING",STREET,12/31/2021,,25-44,BLACK,M,,25-44,WHITE HISPANIC,M,1034223,226997,40.789597405000045,-73.81953352199997,"(40.789597405000045, -73.81953352199997)",POINT (-73.81953352199997 40.789597405000045)
523854159,32,MANHATTAN,12/29/2021,02:00:00,12/29/2021,02:05:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO MAN NORTH,380,"ROBBERY,CAR JACKING",STREET,12/29/2021,,18-24,BLACK,M,,25-44,BLACK,F,1001154,240559,40.826946459000055,-73.93892166499995,"(40.826946459000055, -73.93892166499995)",POINT (-73.93892166499995 40.826946459000055)
777138036,47,BRONX,12/27/2021,00:05:00,12/27/2021,00:13:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO BRONX,380,"ROBBERY,CAR JACKING",STREET,12/27/2021,,UNKNOWN,BLACK HISPANIC,U,,18-24,BLACK,F,1020998,257118,40.87233570600006,-73.86712799899993,"(40.87233570600006, -73.86712799899993)",POINT (-73.86712799899993 40.87233570600006)
610316632,106,QUEENS,12/29/2021,07:55:00,12/29/2021,08:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,,ROBBERY,,PATROL BORO QUEENS SOUTH,380,"ROBBERY,CAR JACKING",STREET,12/29/2021,,25-44,BLACK,F,,25-44,WHITE,F,1033521,188760,40.68465044800007,-73.82234869399997,"(40.68465044800007, -73.82234869399997)",POINT (-73.82234869399997 40.68465044800007)
543058504,107,QUEENS,12/27/2021,00:18:00,12/27/2021,00:25:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO QUEENS SOUTH,380,"ROBBERY,CAR JACKING",STREET,12/27/2021,,18-24,BLACK,M,,18-24,ASIAN / PACIFIC ISLANDER,M,1041388,199885,40.71513860700002,-73.79388895799997,"(40.71513860700002, -73.79388895799997)",POINT (-73.79388895799997 40.71513860700002)
