CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
656903780,12/01/2019,00:50:00,,,62,12/01/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,,983915,160199,UNKNOWN,UNKNOWN,U,,40.60639377800004,-74.00120790799998,"(40.60639377800004, -74.00120790799998)",PATROL BORO BKLYN SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,M
847696605,02/04/2019,15:45:00,,,103,02/04/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",ATTEMPTED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,,1047145,198002,,,,,40.70993118500007,-73.77313955499993,"(40.70993118500007, -73.77313955499993)",PATROL BORO QUEENS SOUTH,,45-64,ASIAN / PACIFIC ISLANDER,M
655906649,12/26/2019,22:30:00,12/26/2019,23:00:00,102,12/27/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,1030440,192676,<18,ASIAN / PACIFIC ISLANDER,M,,40.69541556300004,-73.83343074799996,"(40.69541556300004, -73.83343074799996)",PATROL BORO QUEENS SOUTH,,<18,ASIAN / PACIFIC ISLANDER,M
973452149,12/28/2019,14:14:00,12/28/2019,14:30:00,30,12/28/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,,,,996334,239155,UNKNOWN,BLACK HISPANIC,M,,40.823100787000044,-73.95634045599996,"(40.823100787000044, -73.95634045599996)",PATROL BORO MAN NORTH,,45-64,WHITE,M
865405880,12/31/2019,22:55:00,12/31/2019,23:05:00,72,12/31/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,,980501,175672,18-24,BLACK,U,,40.648863128000066,-74.01351167099993,"(40.648863128000066, -74.01351167099993)",PATROL BORO BKLYN SOUTH,,18-24,WHITE,M
540911932,12/14/2019,04:05:00,12/14/2019,04:15:00,112,12/14/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,1021728,204690,18-24,BLACK,M,,40.728432283000075,-73.86478108999995,"(40.728432283000075, -73.86478108999995)",PATROL BORO QUEENS NORTH,,25-44,ASIAN / PACIFIC ISLANDER,M
283519551,12/14/2019,04:30:00,12/14/2019,04:35:00,102,12/14/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,,1031836,197727,UNKNOWN,BLACK,M,,40.70927195300004,-73.82836080599996,"(40.70927195300004, -73.82836080599996)",PATROL BORO QUEENS SOUTH,,18-24,WHITE,M
798526761,12/15/2019,16:40:00,12/15/2019,16:45:00,69,12/15/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,,1008144,172665,UNKNOWN,BLACK,M,,40.64057812600004,-73.91390558499995,"(40.64057812600004, -73.91390558499995)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,M
964410876,12/07/2019,23:43:00,12/07/2019,23:46:00,63,12/08/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BROOKLYN,REAR OF,CHAIN STORE,N.Y. POLICE DEPT,0,,,,1000521,168264,UNKNOWN,BLACK,M,,40.62851560000007,-73.94138369799998,"(40.62851560000007, -73.94138369799998)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,F
256245804,12/06/2019,03:00:00,12/06/2019,03:30:00,42,12/06/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BRONX,FRONT OF,STREET,N.Y. HOUSING POLICE,2,,MORRISANIA AIR RIGHTS 42,5025.0,1007424,239937,UNKNOWN,BLACK,M,,40.82522502300003,-73.91626822399996,"(40.82522502300003, -73.91626822399996)",PATROL BORO BRONX,,25-44,BLACK,M
272078564,12/10/2019,23:00:00,12/10/2019,23:20:00,71,12/11/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BROOKLYN,FRONT OF,PARKING LOT/GARAGE (PUBLIC),N.Y. POLICE DEPT,0,,,,996148,181562,18-24,BLACK,M,,40.66502269100005,-73.95711436799998,"(40.66502269100005, -73.95711436799998)",PATROL BORO BKLYN SOUTH,,18-24,BLACK,F
503050298,12/07/2019,19:20:00,12/07/2019,19:30:00,106,12/07/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,,1025089,181315,18-24,BLACK,M,,40.66425854200002,-73.85279636999996,"(40.66425854200002, -73.85279636999996)",PATROL BORO QUEENS SOUTH,,45-64,WHITE,M
951699715,12/01/2019,23:00:00,12/01/2019,23:10:00,60,12/01/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,995874,151637,18-24,WHITE,F,,40.58288519300004,-73.95815354399997,"(40.58288519300004, -73.95815354399997)",PATROL BORO BKLYN SOUTH,,18-24,WHITE,M
326636449,11/24/2019,16:05:00,11/24/2019,16:10:00,88,11/24/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",ATTEMPTED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,989487,190443,,,,,40.689405478000026,-73.98111745299997,"(40.689405478000026, -73.98111745299997)",PATROL BORO BKLYN NORTH,,18-24,ASIAN / PACIFIC ISLANDER,M
467194063,11/25/2019,02:20:00,11/25/2019,02:32:00,52,11/25/2019,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BRONX,FRONT OF,GAS STATION,N.Y. POLICE DEPT,0,,,,1017992,256441,UNKNOWN,BLACK,M,,40.87048955300003,-73.87800049199996,"(40.87048955300003, -73.87800049199996)",PATROL BORO BRONX,,25-44,BLACK,M
