PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
2809757,16022998,3,2016-02-07T05:20:00,"800 Block Brushton AV Pittsburgh, PA 15221",Y,Homewood South,5,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1304,9,2,-79.88837848,40.45461029
2815031,16038201,3,2016-03-02T03:52:00,"1300 Block Oakdene ST Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1202,9,2,-79.89076938,40.46190084
2815903,16040238,3,2016-03-05T10:42:00,"7200 Block Hermitage ST Pittsburgh, PA 15208",Y,Homewood North,5,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 2706 Terroristic Threats. / 2902 Unlawful Restraint. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1302,9,2,-79.89514952,40.45998957
2817892,16047897,3,2016-03-17T05:16:00,"2900 Block Middletown RD Pittsburgh, PA 15205",Y,Windgap,6,ROBBERY/CARJACK/OTHER,2705 Recklessy Endangering Another Person. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2807,2,5,-80.06284317,40.44878767
2822073,16052395,3,2016-03-23T23:43:00,"7100 Block Campania AV Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1201,9,2,-79.89212141,40.47252547
2823949,16062247,3,2016-04-07T04:52:00,"5800 Block Murray AV Pittsburgh, PA ",Y,Squirrel Hill South,4,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1414,5,3,-79.92827516,40.41971935
2827062,16078889,3,2016-04-30T20:33:00,"3400 Block Allendale ST Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle. / 3745 Accidents Involving Damage to Unattended Veh.or Prop.,2022,2,5,-80.06340429,40.45785394
2828958,16080207,3,2016-05-02T18:29:00,"3700 Block Allendale CIR Pittsburgh, PA 15204",Y,Sheraden,6,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 2705 Recklessy Endangering Another Person. / 3701 Robbery. / 3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2022,2,5,-80.06332145,40.4601339
2830248,16087714,3,2016-05-13T14:20:00,"1900 Block Spring Garden AV Pittsburgh, PA 15212",Y,Spring Garden,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2412,1,1,-79.98562477,40.46877916
2830987,16090731,3,2016-05-18T00:20:00,"Brushton AV & Bennett ST Pittsburgh, PA 15221",N,Homewood South,5,ROBBERY/CARJACK/GUN,2701 Simple Assault. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1304,9,2,-79.88845816,40.45459781
2832626,16092891,3,2016-05-21T01:16:00,"S 13th ST & Sarah ST Pittsburgh, PA 15203",Y,South Side Flats,3,ROBBERY/CARJACK/OTHER,"3702 Robbery of Motor Vehicle. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1702,3,4,-79.98529012,40.42765878
2839076,16112275,3,2016-06-17T18:10:00,"400 Block Edgemont ST Pittsburgh, PA 15211",Y,Mount Washington,3,ROBBERY/CARJACK/STRONGARM,"3702 Robbery of Motor Vehicle. / 5104 Resisting Arrest or Other Law Enforcement. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3733 Fleeing or Attempting to Elude Police Officer",1807,3,4,-80.00059026,40.42224863
2840055,16116048,3,2016-06-22T23:36:00,"3000 Block Merwyn AV Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,2018,2,5,-80.05185635,40.45726758
2842525,16123848,3,2016-07-03T23:36:00,"2100 Block Eccles ST Pittsburgh, PA 15210",N,South Side Slopes,3,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1608,3,4,-79.97713293,40.41841059
2846675,16126889,3,2016-07-08T16:10:00,"60 Block Bracey CT Pittsburgh, PA 15206",N,East Hills,5,ROBBERY/CARJACK/STRONGARM,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1306,3,4,-80.00605989,40.41868761
2845620,16127246,3,2016-07-09T00:15:00,"2000 Block E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,ROBBERY/CARJACK/STRONGARM,2702 Aggravated Assault. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1702,3,4,-79.97750748,40.42831022
2848856,16127896,3,2016-07-10T02:30:00,"1100 Block Sheffield ST Pittsburgh, PA 15233",N,Manchester,1,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,2107,6,1,-80.02126185,40.45420401
2843506,16128974,3,2016-07-11T22:05:00,"1900 Block Arlington AV Pittsburgh, PA 15210",N,Arlington,3,ROBBERY/CARJACK/STRONGARM,2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle.,1603,3,4,-79.9805088,40.41750412
2845036,16132776,3,2016-07-17T01:00:00,"7200 Block Hamilton AV Pittsburgh, PA 15208",N,Homewood South,5,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1303,9,2,-79.89753117,40.45457233
2846015,16134229,3,2016-07-19T20:11:00,"Dove WY & Knox AV Pittsburgh, PA 15210",Y,Knoxville,3,ROBBERY/CARJACK/STRONGARM,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3925 Receiving Stolen Property. / 5104 Resisting Arrest or Other Law Enforcement. / 3334 Turning Movements and Required Signals. / 3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,3001,3,4,-79.99053365,40.4147346
2846624,16137293,3,2016-07-24T02:00:00,"1500 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY/CARJACK/STRONGARM,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1702,3,4,-79.98330671,40.42868483
2849241,16144176,3,2016-08-03T16:21:00,"Berlin WY & Oasis WY Pittsburgh, PA 15201",N,Upper Lawrenceville,2,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1011,7,2,-79.95588427,40.47896926
2851539,16144782,3,2016-08-04T13:20:00,"2100 Block Park Hill DR Pittsburgh, PA 15221",N,East Hills,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1306,9,2,-79.8740214,40.45295266
2851624,16150152,3,2016-08-11T22:24:00,"3000 Block Arlington AV Pittsburgh, PA 15210",N,Arlington Heights,3,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1604,3,4,-79.9656533,40.41728634
2851147,16150985,3,2016-08-13T02:39:00,"Crawford ST & Wylie AV Pittsburgh, PA 15219",N,Golden Triangle/Civic Arena,2,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,201,6,6,-79.98721532,40.44269983
2852047,16154662,3,2016-08-18T13:30:00,"2nd AV & Glen Caladh ST Pittsburgh, PA 15207",Y,Hazelwood,4,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,1515,5,3,-79.94384519,40.40915052
2852324,16155062,3,2016-08-18T23:15:00,"Morgan ST & Webster AV Pittsburgh, PA 15219",Y,Middle Hill,2,ROBBERY/CARJACK/GUN,3701 Robbery.,501,6,3,-79.96892064,40.45114941
2852507,16155169,3,2016-08-19T03:12:00,"6400 Block Frankstown AV Pittsburgh, PA 15206",Y,Larimer,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1208,9,2,-79.915653,40.46077054
2852678,16155553,3,2016-08-19T16:58:00,"Tipton ST & Teton WY Pittsburgh, PA 15207",Y,Hazelwood,4,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1515,5,3,-79.94298897,40.40794967
2853442,16158630,3,2016-08-24T01:40:00,"600 Block S 10th ST Pittsburgh, PA 15203",Y,South Side Flats,3,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1702,3,4,-79.98852842,40.4265902
2853803,16161707,3,2016-08-28T05:15:00,"300 Block Mt Pleasant RD Pittsburgh, PA ",Y,Northview Heights,1,ROBBERY/CARJACK/GUN,3701 Robbery.,2609,1,1,-80.00304348,40.48235135
2855179,16164279,3,2016-08-31T21:18:00,"2500 Block N Charles ST Pittsburgh, PA 15214",Y,Perry South,1,ROBBERY/CARJACK/GUN,"903 Criminal Conspiracy. / 3702 Robbery of Motor Vehicle. / 4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 6110.1 Possesion of Firearm by Minor / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm",2614,6,1,-80.01885858,40.46692217
2856698,16164984,3,2016-09-01T21:11:00,"500 Block Bigelow ST Pittsburgh, PA 15207",Y,Hazelwood,4,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3702 Robbery of Motor Vehicle. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1501,5,3,-79.93967131,40.41876071
2856743,16165053,3,2016-09-01T23:05:00,"6800 Block Simonton ST Pittsburgh, PA 15208",N,Point Breeze North,4,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1405,9,2,-79.90767086,40.45535912
2859083,16173208,3,2016-07-18T23:30:00,"500 Block N Highland AV Pittsburgh, PA 15206",N,East Liberty,5,ROBBERY/CARJACK/OTHER,3702 Robbery of Motor Vehicle.,1113,8,2,-79.92496117,40.45301084
